标题,"简写作者,期刊,时间,出版商",简写摘要,引用,被引用次数,文献链接
Continuous energy function sensitivity calculation using GPT in Monte Carlo neutron transport: application to resonance parameters sensitivity study,"M Aufiero, A Bidaud, M Fratoni - … on Advances in Nuclear Power Plants …, 2016 - hal.in2p3.fr","GPT allows calculating sensitivities of one observable (as keff… to the recent development of
GPT capabilities in Serpent Monte … Results of this GPT- based method are compared to a few …","Aufiero, M., Bidaud, A., & Fratoni, M. (2016, April). Continuous energy function sensitivity calculation using GPT in Monte Carlo neutron transport: application to resonance parameters sensitivity study. In International Congress on Advances in Nuclear Power Plants (ICAPP 2016) (pp. 826-830).",被引用次数：4,没有链接
Hepatic transaminase activity in alcoholic liver disease,"DS Matloff, MJ Selinger, MM Kaplan - Gastroenterology, 1980 - Elsevier","… The specific activity of GPT in normal liver was 133 ± 18 U/g protein. Hepatic GPT activity
in … Decreased hepatic GPT activity was found only in patients with alcoholic hepatitis and …","Matloff, D. S., Selinger, M. J., & Kaplan, M. M. (1980). Hepatic transaminase activity in alcoholic liver disease. Gastroenterology, 78(6), 1389-1392.",被引用次数：4,没有链接
Spontaneous mutagenesis in rodents: spontaneous gene mutations identified by neutral reporter genes in gpt delta transgenic mice and rats,"K Masumura, T Nohmi - Journal of health science, 2009 - jstage.jst.go.jp","… gpt delta SD and F344 rats; (4) we observed that 96/473 (20%) gpt mutants recovered from
gpt … it was never found among 1680 gpt mutants we have analyzed in gpt delta mice. Thus, an …","Masumura, K., & Nohmi, T. (2009). Spontaneous mutagenesis in rodents: spontaneous gene mutations identified by neutral reporter genes in gpt delta transgenic mice and rats. Journal of health science, 55(1), 40-49.",被引用次数：4,https://www.jstage.jst.go.jp/article/jhs/55/1/55_1_40/_pdf
[引用] Role of Chat GPT in Education,S Biswas - 2023,无,"Biswas, S. (2023). Role of Chat GPT in Education.",被引用次数：4,没有链接
Security of the Niderreiter Form of the GPT public-key cryptosystem,"T Berger, P Loidreau - Proceedings IEEE International …, 2002 - ieeexplore.ieee.org","… Abstract - We present a way of choosing a subcode of a Gabidulin code to strengthen the
Niederreiter form of the GPT cryptosystem against Gibson attacks, without too much …","Berger, T., & Loidreau, P. (2002, June). Security of the Niderreiter Form of the GPT public-key cryptosystem. In Proceedings IEEE International Symposium on Information Theory, (p. 267). IEEE.",被引用次数：4,没有链接
Characterization of gpt deletion mutations in transgenic Chinese hamster cell lines,"CB Klein, L Su, J Singh, ET Snow - … and molecular mutagenesis, 1997 - Wiley Online Library","… We show here that PCR amplification of the gpt … , the gpt transgene in G12 cells is much to
the gpt sequence in these cells. The mAMSA data may also suggest the possibility that the gpt …","Klein, C. B., Su, L., Singh, J., & Snow, E. T. (1997). Characterization of gpt deletion mutations in transgenic Chinese hamster cell lines. Environmental and molecular mutagenesis, 30(4), 418-428.",被引用次数：15,https://onlinelibrary.wiley.com/doi/pdf/10.1002/(SICI)1098-2280(1997)30:4%3C418::AID-EM7%3E3.0.CO;2-E
[PDF] Application of GPT-free method to sensitivity analysis in Monte Carlo models,"Z Wu, CB Kennedy, HS Abdel-Khalik - Transactions of the American …, 2012 - ncnr.nist.gov","… ? In applications where both the number of input parameters and output responses are
significantly large, GPT can become computationally intractable due to the considerable number …","Wu, Z., Kennedy, C. B., & Abdel-Khalik, H. S. (2012). Application of GPT-free method to sensitivity analysis in Monte Carlo models. Transactions of the American Nuclear Society, 106, 763-766.",被引用次数：15,https://www.ncnr.nist.gov/staff/zeyun.wu/presents/Wu_GPT_ANS_summer_2012.pdf
[PDF] The Wisdom of Artificial General Intelligence: Experiments with GPT-4 for DIKWP,"Y Li, Y Duan - arXiv preprint, 2023 - researchgate.net","… In this article, we will explore whether GPT-4 has the ability to clearly distinguish and extract
data, … of GPT-4 in DIKWP are discussed in combination with the specific outputs from GPT-4. …","Li, Y., & Duan, Y. (2023). The Wisdom of Artificial General Intelligence: Experiments with GPT-4 for DIKWP. arXiv preprint.",被引用次数：15,https://www.researchgate.net/profile/Yucong-Duan/publication/369921194_The_Wisdom_of_Artificial_General_Intelligence_Experiments_with_GPT-4_for_DIKWP/links/6434a35d609c170a1309b584/The-Wisdom-of-Artificial-General-Intelligence-Experiments-with-GPT-4-for-DIKWP.pdf
Can GPT-4 formulate and test a novel hypothesis? Yes and no,M King - 2023 - techrxiv.org,"… Recently the newest version, GPT-4, has been released, and promises to be even more …
GPT-3 and GPT-3.5 (https://openai.com/product/gpt-4) . This led me to question whether the GPT…","King, M. (2023). Can GPT-4 formulate and test a novel hypothesis? Yes and no.",被引用次数：15,https://www.techrxiv.org/articles/preprint/Can_GPT-4_formulate_and_test_a_novel_hypothesis_Yes_and_no/22517278/1/files/39979873.pdf
"The activity of glutamic-oxalacetic and glutamic-pyruvic transaminases (GOT and GPT), ornithine-carbamolytransferase (OCT) and alkaline phosphatase (AP) in …","G Hellstr?m - Acta Chirurgica Scandinavica, 1966 - pubmed.ncbi.nlm.nih.gov","The activity of glutamic-oxalacetic and glutamic-pyruvic transaminases (GOT and GPT),
ornithine-carbamolytransferase (OCT) and alkaline phosphatase (AP) in serum in closed …","Hellstr?m, G. (1966). The activity of glutamic-oxalacetic and glutamic-pyruvic transaminases (GOT and GPT), ornithine-carbamolytransferase (OCT) and alkaline phosphatase (AP) in serum in closed liver injury. An experimental study in dogs. Acta Chirurgica Scandinavica, 131(6), 476-484.",被引用次数：15,没有链接
"[PDF] Benchmark of rf photoinjector and dipole using ASTRA, GPT, and OPAL","N Neveu, LK Spentzouris, C Metzger-Kraus… - Proc. NAPAC'16, 2016 - jacow.org","… The AWA rf photoinjector was benchmarked, primarily to study SC, in ASTRA, GPT, and
OPAL-T using a 1 nC beam. A 20 dipole magnet was used to benchmark CSR effects in GPT …","Neveu, N., Spentzouris, L. K., Metzger-Kraus, C., Adelmann, A., & Ha, G. (2016). Benchmark of rf photoinjector and dipole using ASTRA, GPT, and OPAL. Proc. NAPAC’16, 1194-1196.",被引用次数：15,https://www.jacow.org/napac2016/papers/thpoa46.pdf
Mutagenic specificity of N′-methyl-N′-nitro-N-nitrosoguanidine in the gpt gene on a chromosome of Chinese hamster ovary cells and of Escherichia coli cells,"H Sockett, S Romac, F Hutchinson - Molecular and General Genetics MGG, 1991 - Springer","DNA base sequence changes induced by N-methyl-N′-nitro-N-nitrosoguanidine (MNNG)
mutagenesis have been determined for the Escherichia coli gpt gene stably incorporated in a …","Sockett, H., Romac, S., & Hutchinson, F. (1991). Mutagenic specificity of N′-methyl-N′-nitro-N-nitrosoguanidine in the gpt gene on a chromosome of Chinese hamster ovary cells and of Escherichia coli cells. Molecular and General Genetics MGG, 227, 252-259.",被引用次数：15,没有链接
GPT system for encapsulating an integrated circuit package,"P Variot - US Patent 5,420,752, 1995 - Google Patents","The present invention provides a method for fabricating an integrated circuit package, as well
the resulting integrated circuit package, which retains a heatsink in close communication …","Variot, P. (1995). U.S. Patent No. 5,420,752. Washington, DC: U.S. Patent and Trademark Office.",被引用次数：15,https://patentimages.storage.googleapis.com/74/fb/63/62edc3ec847cc2/US5420752.pdf
"Transaminase (GOT and GPT) activity in skeletal muscles of cattle, pigs and poultry","K Krzysztoforski, T Ko?czak - Polish journal of food and …, 2000 - journal.pan.olsztyn.pl","… GPT) activity is higher among pigs muscles than among bull muscles. Activity of both enzymes
depends slightly on their intra vitam physiological activity. The GPT … GOT and GPT activity …","Krzysztoforski, K., & Ko?czak, T. (2000). Transaminase (GOT and GPT) activity in skeletal muscles of cattle, pigs and poultry. Polish journal of food and nutrition sciences, 50(4), 69-72.",被引用次数：15,没有链接
Evaluation of GPT and BERT-based models on identifying protein-protein interactions in biomedical text,"H Rehana, NB ?am, M Basmaci, Y He, A ?zgür… - arXiv preprint arXiv …, 2023 - arxiv.org","… of various GPT and … , GPT-4 achieved comparable performance to the best BERT models
with 83.34% precision, 76.57% recall, and 79.18% F1-score. These findings suggest that GPT …","Rehana, H., ?am, N. B., Basmaci, M., He, Y., ?zgür, A., & Hur, J. (2023). Evaluation of GPT and BERT-based models on identifying protein-protein interactions in biomedical text. arXiv preprint arXiv:2303.17728.",被引用次数：15,https://arxiv.org/pdf/2303.17728
"The abstract GPT and GCPT groups of discrete C, P and T symmetries","P Lazzeretti - Journal of Molecular Spectroscopy, 2017 - Elsevier","Essential symmetry properties of physical quantities of classical mechanics and classical
electromagnetism can be rationalized via the Abelian symmetry group G PT , with four …","Lazzeretti, P. (2017). The abstract GPT and GCPT groups of discrete C, P and T symmetries. Journal of Molecular Spectroscopy, 337, 178-184.",被引用次数：9,没有链接
BIM-GPT: a Prompt-Based Virtual Assistant Framework for BIM Information Retrieval,"J Zheng, M Fischer - arXiv preprint arXiv:2304.09333, 2023 - arxiv.org","… (GPT) technologies to support NL-based IR. A prompt manager and dynamic template generate
prompts for GPT models… Additionally, we validated BIM-GPT’s functionality through a VA …","Zheng, J., & Fischer, M. (2023). BIM-GPT: a Prompt-Based Virtual Assistant Framework for BIM Information Retrieval. arXiv preprint arXiv:2304.09333.",被引用次数：9,https://arxiv.org/pdf/2304.09333
E. coli gpt gene expression effects on K562 human leukemia cell proliferation and erythroid differentiation altered by mycophenolic acid.,"H Kamano, T Tanaka, Y Yamaji, K Ikeda… - Biochemistry …, 1992 - europepmc.org","… (Eco gpt) gene was transfected into K562 cells (K562-pMSG cells) to investigate the role
of IMPDH in both K562 cell proliferation and erythroid differentiation. Eco gpt provides K562 …","Kamano, H., Tanaka, T., Yamaji, Y., Ikeda, K., Hata, Y., Shiotani, T., ... & Irino, S. (1992). E. coli gpt gene expression effects on K562 human leukemia cell proliferation and erythroid differentiation altered by mycophenolic acid. Biochemistry international, 26(3), 537-543.",被引用次数：9,没有链接
Polymerase chain reaction-based deletion analysis of spontaneous and arsenite-enhanced gpt mutants in CHO-AS52 cells,"Z Meng, AW Hsie - … Research/Fundamental and Molecular Mechanisms of …, 1996 - Elsevier","In this study, we have examined the mutagenicity of sodium arsenite at the xanthine-guanine
phosphoribosyltransferase locus (ypt) in a pSV2 gpt-transformed CHO cell line, AS52. Our …","Meng, Z., & Hsie, A. W. (1996). Polymerase chain reaction-based deletion analysis of spontaneous and arsenite-enhanced gpt mutants in CHO-AS52 cells. Mutation Research/Fundamental and Molecular Mechanisms of Mutagenesis, 356(2), 255-259.",被引用次数：9,没有链接
Effect of cold work and aging on mechanical properties of a copper bearing microalloyed HSLA-100 (GPT) steel,"S Panwar, DB Goel, OP Pandey - Bulletin of Materials Science, 2007 - Springer","… The HSLA steel (designated as GPT) investigated in this study was supplied by Naval
Research Laboratory, Washington DC, USA, in the form of a plate of thickness, 51 mm and size, …","Panwar, S., Goel, D. B., & Pandey, O. P. (2007). Effect of cold work and aging on mechanical properties of a copper bearing microalloyed HSLA-100 (GPT) steel. Bulletin of Materials Science, 30, 73-79.",被引用次数：9,https://www.ias.ac.in/public/Volumes/boms/030/02/0073-0079.pdf
Anaerobic induction of alanine aminotransferase in barley root tissue,"AG Good, WL Crosby - Plant Physiology, 1989 - academic.oup.com","… We demonstrate that GPT activity does increase in activity in parallel with ADH activity.
This increase in activity does not result in any change in GPT isozyme patterns as shown by …","Good, A. G., & Crosby, W. L. (1989). Anaerobic induction of alanine aminotransferase in barley root tissue. Plant Physiology, 90(4), 1305-1309.",被引用次数：9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1061887/pdf/plntphys00643-0083.pdf
[HTML] An Automated Approach for the Prediction of the Severity Level of Bug Reports Using GPT-2,"S Ali, A Nasir, A Samad, S Basser… - Security and …, 2022 - hindawi.com","… Although GPT-2 is available as a pretrained model, in this study, we have trained the GPT-2
independently. GPT-2 showed a remarkable performance in several domains such as …","Ali, S., Nasir, A., Samad, A., Basser, S., & Irshad, A. (2022). An Automated Approach for the Prediction of the Severity Level of Bug Reports Using GPT-2. Security and Communication Networks, 2022.",被引用次数：9,https://www.hindawi.com/journals/scn/2022/2892401/
Short note: a global model of pressure and temperature for geodetic applications,"J B?hm, R Heinkelmann, H Schuh - Journal of Geodesy, 2007 - Springer","… Input parameters of GPT are the station … using GPT instead of the very simple approaches
applied to various Global Navigation Satellite Systems (GNSS) software packages so far. GPT …","B?hm, J., Heinkelmann, R., & Schuh, H. (2007). Short note: a global model of pressure and temperature for geodetic applications. Journal of Geodesy, 81, 679-683.",被引用次数：9,https://www.researchgate.net/profile/Robert-Heinkelmann/publication/225953968_Short_Note_A_Global_Model_of_Pressure_and_Temperature_for_Geodetic_Applications/links/09e4150b6361a680b0000000/Short-Note-A-Global-Model-of-Pressure-and-Temperature-for-Geodetic-Applications.pdf#page=55
Does GPT-3 Generate Empathetic Dialogues? A Novel In-Context Example Selection Method and Automatic Evaluation Metric for Empathetic Dialogue Generation,"YJ Lee, CG Lim, HJ Choi - … of the 29th International Conference on …, 2022 - aclanthology.org","… learning remains unclear, especially in GPT3 (Brown et al.… In this study, we explore whether
GPT-3 can generate empathetic … We show that GPT-3 achieves competitive performance with …","Lee, Y. J., Lim, C. G., & Choi, H. J. (2022, October). Does GPT-3 Generate Empathetic Dialogues? A Novel In-Context Example Selection Method and Automatic Evaluation Metric for Empathetic Dialogue Generation. In Proceedings of the 29th International Conference on Computational Linguistics (pp. 669-683).",被引用次数：9,https://aclanthology.org/2022.coling-1.56.pdf
