标题,"简写作者,期刊,时间,出版商",简写摘要,引用,被引用次数,文献链接
Computer-generated Humour Based on GPT-2,"Y Su - 2022 IEEE 2nd International Conference on Data …, 2022 - ieeexplore.ieee.org","Humour generation has always been a huge challenge in the area of computational humour.
In this paper, we explore how to generate jokes based on keywords by fine-tuning GPT-2 …","Su, Y. (2022, October). Computer-generated Humour Based on GPT-2. In 2022 IEEE 2nd International Conference on Data Science and Computer Application (ICDSCA) (pp. 890-893). IEEE.",无,没有链接
Critical service features in group package tour: An exploratory research,"KC Wang, AT Hsieh, TC Huan - Tourism Management, 2000 - Elsevier","… This report also revealed that the median length of stay overseas for GPT was 6.1 nights,
and average expenditure by GPT travelers was NT$ 42,012, or about US$ 1241 (including …","Wang, K. C., Hsieh, A. T., & Huan, T. C. (2000). Critical service features in group package tour: An exploratory research. Tourism Management, 21(2), 177-189.",399,https://web.ntnu.edu.tw/~gordonwang/Critical%20service%20features.pdf
"GOT and GPT, Assay with Automatic Analysers","MK Schwartz, O Bodansky - Methods of Enzymatic Analysis, 1974 - Elsevier","Publisher Summary This chapter focuses on automated methods for the determination of
transaminase activities that are based on the manual methods. Automated methods for the …","Schwartz, M. K., & Bodansky, O. (1974). GOT and GPT, Assay with Automatic Analysers. In Methods of Enzymatic Analysis (pp. 768-773). Academic Press.",1,没有链接
[PDF] Prompt scoring system for dialogue summarization using GPT-3,"G Prodan, E Pelican - 2022 - techrxiv.org","Recent results in language processing show that language models are capable of performing
several natural language tasks without the need of supervised learning. A challenging …","Prodan, G., & Pelican, E. (2022). Prompt scoring system for dialogue summarization using GPT-3.",1,https://www.techrxiv.org/ndownloader/files/35289613
The effects of fucoidan extracts on CCl4-induced liver injury,"KS Kang, ID Kim, RH Kwon, JY Lee, JS Kang… - Archives of pharmacal …, 2008 - Springer","… The levels of GOT, GPT, ALP and LDH in serum of rats, as … CCl4-treatment was found to
increase the levels of GOT, GPT, … the increment of levels of GOT, GPT, ALP, LDH and MDA, as …","Kang, K. S., Kim, I. D., Kwon, R. H., Lee, J. Y., Kang, J. S., & Ha, B. J. (2008). The effects of fucoidan extracts on CCl 4-induced liver injury. Archives of pharmacal research, 31, 622-627.",60,https://www.researchgate.net/profile/Jae-Kang-3/publication/5370581_The_Effects_of_Fucoidan_Extracts_on_CCl4-Induced_Liver_Injury/links/5e75ad71a6fdcccd62120b7a/The-Effects-of-Fucoidan-Extracts-on-CCl4-Induced-Liver-Injury.pdf
[HTML] Evidence that the hamster tunicamycin resistance gene encodes UDP-GlcNAc: dolichol phosphate N-acetylglucosamine-1-phosphate transferase.,"X Zhu, Y Zeng, MA Lehrman - Journal of Biological Chemistry, 1992 - Elsevier","… GPT activity, the apparent binding of tunicamycin to the TRG protein, and the immunoadsorption
of GPT … From these results, we conclude that the hamster TRG most likely encodes GPT …","Zhu, X., Zeng, Y. U. C. H. E. N. G., & Lehrman, M. A. (1992). Evidence that the hamster tunicamycin resistance gene encodes UDP-GlcNAc: dolichol phosphate N-acetylglucosamine-1-phosphate transferase. Journal of Biological Chemistry, 267(13), 8895-8902.",45,https://www.sciencedirect.com/science/article/pii/S0021925819503647
Evaluation of the protective potential of Artemisia maritima extract on acetaminophen-and CCl4-induced liver damage,"KH Janbaz, AH Gilani - Journal of Ethnopharmacology, 1995 - Elsevier","… GPT levels to 112 4. 10 IU/I and 47 4- 11 IU/I. Similarly, a hepatotoxic dose of CCI 4 (1.5 ml/kg,
orally) raised significantly (P < 0.01) the serum GOT and GPT … of GOT and GPT were 105 4…","Janbaz, K. H., & Gilani, A. U. H. (1995). Evaluation of the protective potential of Artemisia maritima extract on acetaminophen-and CCl4-induced liver damage. Journal of Ethnopharmacology, 47(1), 43-47.",82,没有链接
Artificial Intelligence as an Actor in Innovation Teams: An Assessment of the GPT-3 Language Model,"SG Bouschery, V Blazevic, D Roberts… - Academy of …, 2022 - journals.aom.org","Transformer-based language models are a new type of machine learning model that have
shown great promise for many applications, including knowledge extraction and generation. …","Bouschery, S. G., Blazevic, V., Roberts, D., & Piller, F. T. (2022). Artificial Intelligence as an Actor in Innovation Teams: An Assessment of the GPT-3 Language Model. In Academy of Management Proceedings (Vol. 2022, No. 1, p. 11505). Briarcliff Manor, NY 10510: Academy of Management.",无,没有链接
Long Tails & the Impact of GPT on Labor,BN Kausik - 2023 - mpra.ub.uni-muenchen.de,"Recent advances in AI technologies renew urgency to the question whether automation will
cause mass unemployment and reduction in standards of living. While prior work analyzes …","Kausik, B. N. (2023). Long Tails & the Impact of GPT on Labor.",无,https://mpra.ub.uni-muenchen.de/117063/1/MPRA_paper_117063.pdf
Smoothening of Software documentation: comparing a self-made sequence to sequence model to a pre-trained model GPT-2,"J Tao, D Thimrén - 2021 - diva-portal.org","This thesis was done in collaboration with Ericsson AB with the goal of researching the
possibility of creating a machine learning model that can transfer the style of a text into another …","Tao, J., & Thimrén, D. (2021). Smoothening of Software documentation: comparing a self-made sequence to sequence model to a pre-trained model GPT-2.",无,https://www.diva-portal.org/smash/get/diva2:1584288/FULLTEXT01.pdf
[PDF] Unravelling the Trail of a GPT: The Case of Electrical & Electronic Technologies from 1860 to 1930,S Petralia - 2017 - regionalstudies.org,"… GPT having a real impact in the economy, given that theory provides clear predictions on how
the diffusion of a GPT … economic changes to the diffusion of a GPT. See for instance David (…","Petralia, S. (2017). Unravelling the Trail of a GPT: The Case of Electrical & Electronic Technologies from 1860 to 1930. Mimeo.",1,https://www.regionalstudies.org/wp-content/uploads/2018/07/Petralia_Draft.pdf
Reconfigurable switch memory,"G Chopping - US Patent 5,504,739, 1996 - Google Patents","A reconfigurable switch memory which is applicable to time switches and space switches
enables two very different time switching functions to be efficiently implemented by one type of …","Chopping, G. (1996). U.S. Patent No. 5,504,739. Washington, DC: U.S. Patent and Trademark Office.",5,https://patentimages.storage.googleapis.com/d6/a8/df/b0b35a0e5da80d/US5504739.pdf
How intelligent is Watson? Enabling digital transformation through artificial intelligence,"S Magistretti, C Dell'Era, AM Petruzzelli - Business Horizons, 2019 - Elsevier","… -purpose technology (GPT) in the digital era. Most studies in the field focus on the ex-post
recognition and classification of GPT but in this article, we look at a GPT design ex-ante by …","Magistretti, S., Dell’Era, C., & Petruzzelli, A. M. (2019). How intelligent is Watson? Enabling digital transformation through artificial intelligence. Business Horizons, 62(6), 819-829.",71,https://re.public.polimi.it/bitstream/11311/1114519/1/PostPrint%2020190326_BH_SI_Digital%20Transformation_How%20Intelligent%20Is%20Watson.pdf
Ontogeny of digestion in Daphnia: implications for the effectiveness of algal defenses,"WR DeMott, EN McKinney, AJ Tessier - Ecology, 2010 - Wiley Online Library","… the plug was timed to complete defecation to arrive at GPT. Body length was also recorded.
Testing showed that the GPT estimate was not sensitive to our frequency of handling during …","DeMott, W. R., McKinney, E. N., & Tessier, A. J. (2010). Ontogeny of digestion in Daphnia: implications for the effectiveness of algal defenses. Ecology, 91(2), 540-548.",63,没有链接
Parental effects in Plantago lanceolata L. II. Manipulation of grandparental temperature and parental flowering time,"AL Case, EP Lacey, RG Hopkins - Heredity, 1996 - nature.com","… male sterility at high GPT. The difference in leaf … GPT group flowered in the low GPT group.
In contrast, in another MFAM twice as many plants flowered at low GPT as did so at high GPT. …","Case, A. L., Lacey, E. P., & Hopkins, R. G. (1996). Parental effects in Plantago lanceolata L. II. Manipulation of grandparental temperature and parental flowering time. Heredity, 76(3), 287-295.",66,https://www.nature.com/articles/hdy199642.pdf
[PDF] The virtual development office framework in enterprises network organization: the GPT case study,"P Taticchi, M Botarelli, L Cagnazzo - conference: POM, Tokyo, 2008 - researchgate.net","The globalization of competition has entailed that organizations of developed countries
have to face new kinds of competitors with low labor cost and often advantageous exchange …","Taticchi, P., Botarelli, M., & Cagnazzo, L. (2008). The virtual development office framework in enterprises network organization: the GPT case study. In conference: POM, Tokyo.",1,https://www.researchgate.net/profile/Paolo-Taticchi-3/publication/220832571_The_Virtual_Development_Office_Framework_for_Business_Networks_A_Case_Study_from_the_Umbrian_Packaging_District/links/02e7e52f62aef506bd000000/The-Virtual-Development-Office-Framework-for-Business-Networks-A-Case-Study-from-the-Umbrian-Packaging-District.pdf
Specificity of pyrimidine nucleoside phosphorylases and the phosphorolysis of 5-fluoro-2′-deoxyuridine,"PW Woodman, AM Sarrif, C Heidelberger - Cancer Research, 1980 - AACR","… that are inhibited by GPT and (b) dThd phosphorylases that cleave only
deoxynucleosides and that are not inhibited by GPT, we propose the term â€â€unidine-deoxyunidinephospho …","Woodman, P. W., Sarrif, A. M., & Heidelberger, C. (1980). Specificity of pyrimidine nucleoside phosphorylases and the phosphorolysis of 5-fluoro-2′-deoxyuridine. Cancer Research, 40(3), 507-511.",104,没有链接
"[PDF] Benchmarking Simulation for AWA Drive Linac and Emittance Exchange Beamline Using OPAL, GPT, and Impact-T","SY Kim, G Ha, J Power, G Chen, S Doran, W Liu… - 2022 - inspirehep.net","At the Argonne Wakefield Accelerator (AWA) facility, particle-tracking simulations have been
critical to guiding beam-dynamic experiments, eg, for various beam manipulations using an …","Kim, S. Y., Ha, G., Power, J., Chen, G., Doran, S., Liu, W., & Wisniewski, E. (2022). Benchmarking Simulation for AWA Drive Linac and Emittance Exchange Beamline Using OPAL, GPT, and Impact-T.",无,https://inspirehep.net/files/74c0b4a23a0ef920d26bda3727be9fa7
[引用] Alanine aminotransferase (GPT) in rainbow trout: plasma enzyme levels as an index of liver damage,"KF Pfeifer, LJ Weber, RE Larson - Proceedings of the …, 1977 - pubmed.ncbi.nlm.nih.gov","Alanine aminotransferase (GPT) in rainbow trout: plasma enzyme levels as an index of liver
damage Alanine aminotransferase (GPT) in rainbow trout: plasma enzyme levels as an …","Pfeifer, K. F., Weber, L. J., & Larson, R. E. (1977). Alanine aminotransferase (GPT) in rainbow trout: plasma enzyme levels as an index of liver damage. In Proceedings of the Western Pharmacology Society (Vol. 20, pp. 431-437).",28,没有链接
Novel transgenic rat for in vivo genotoxicity assays using 6‐thioguanine and Spi− selection,"H Hayashi, H Kondo, K Masumura… - Environmental and …, 2003 - Wiley Online Library","… To examine the kinetics of gpt MF in the liver, we treated SD-2 rats with ENU and
determined the gpt MF 7, 21, 35, and 70 days after the last injection. Four rats (two males and …","Hayashi, H., Kondo, H., Masumura, K. I., Shindo, Y., & Nohmi, T. (2003). Novel transgenic rat for in vivo genotoxicity assays using 6‐thioguanine and Spi− selection. Environmental and molecular mutagenesis, 41(4), 253-259.",62,没有链接
GPT: A tutor for geometry proving,"RN Alicbusan, LN Foz, PV Merle, ECJ Ong… - 2017 - animorepository.dlsu.edu.ph","Geometry is a mandatory subject for secondary school students, where they learn geometric
figures and their properties, and the axioms, postulates and theorems involving them. A key …","Alicbusan, R. N., Foz, L. N., Merle, P. V., Ong, E. C. J., & Lapinid, M. R. (2017). GPT: A tutor for geometry proving.",1,没有链接
Synthesis of graphene nanoribbons with various widths and its application to thin-film transistor,"KT Kim, JW Jung, WH Jo - Carbon, 2013 - Elsevier","… -GPT did not show an inherent property of graphene, because the GPT block length in
P3HT-b-GPT … narrow, because they used phenylene as a precursor for GPT block. In this study, we …","Kim, K. T., Jung, J. W., & Jo, W. H. (2013). Synthesis of graphene nanoribbons with various widths and its application to thin-film transistor. Carbon, 63, 202-209.",64,没有链接
The GPT-2 Historian: Can a language model write history,G Holt - 2021 - digital.kenyon.edu,"… , a GPT-2 Historian risks contradictions and logical fallacies in its historical writing. However,
my previous experience with GPT-2 … With this in mind, I will now explore GPT-2’s potential to …","Holt, G. (2021). The GPT-2 Historian: Can a language model write history.",无,没有链接
How I Learned to Love GPT-3,"FE Guerra-Pujol - UCF Faculty Focus, 2023 - papers.ssrn.com","The author, a college professor who teaches large survey courses, describes his reaction to
the new powerful chatbots or"" cheating genies"" such as GPT-3 or ChatGPT, a powerful …","Guerra-Pujol, F. E. (2023). How I Learned to Love GPT-3. UCF Faculty Focus, 22(1), 25.",无,没有链接
"[HTML] A deeper dive into ChatGPT: history, use and future perspectives for orthopaedic research","M Ollivier, A Pareek, J Dahmen, M Kayaalp… - Knee Surgery, Sports …, 2023 - Springer","… Finally, to provide exceptional performance, language models like GPT-3 are trained on
large amounts of data. GPT-3, for instance, has been trained on 45 terabytes of text data from …","Ollivier, M., Pareek, A., Dahmen, J., Kayaalp, M., Winkler, P. W., Hirschmann, M. T., & Karlsson, J. (2023). A deeper dive into ChatGPT: history, use and future perspectives for orthopaedic research. Knee Surgery, Sports Traumatology, Arthroscopy, 1-3.",7,https://link.springer.com/article/10.1007/s00167-023-07372-5
T-EINSTITUTION OF ELECTRICAL ENGINEERS,"…, APW GPT, BH Davies, SJ Swain, K Watkins, JAO GPT - ieeexplore.ieee.org","… ""Is there a role for OSI security management in military networks"" AP Whitehead (GPT) …
""The use of CCITT No 7 signalling to support military enhancements"": JA Osborne (GPT) …","STC, J. E., Knowles, T., GPT, A. W., Davies, B. H., Swain, S. J., Watkins, K., & GPT, J. O. T-EINSTITUTION OF ELECTRICAL ENGINEERS.",无,没有链接
Determination of glutamate pyruvate transaminase and pyruvate with an amperometric pyruvate oxidase sensor,"F Mizutani, K Tsuda, I Karube, S Suzuki… - Analytica Chimica …, 1980 - Elsevier","… membrane_ The response to pyruvate became constant after 2 min (Fig_ 2)_ This lag time
was also observed after addition of GPT but had no influence on the determination of GPT. …","Mizutani, F., Tsuda, K., Karube, I., Suzuki, S., & Matsumoto, K. (1980). Determination of glutamate pyruvate transaminase and pyruvate with an amperometric pyruvate oxidase sensor. Analytica Chimica Acta, 118(1), 65-71.",73,没有链接
Afferent stimulation facilitates performance on a novel motor task,"MN McDonnell, MC Ridding - Experimental Brain Research, 2006 - Springer","… prior to training on the GPT. A second group received non-… stimulation and performance
of the GPT. In contrast to non-… Training on the GPT resulted in significant improvements in …","McDonnell, M. N., & Ridding, M. C. (2006). Afferent stimulation facilitates performance on a novel motor task. Experimental Brain Research, 170, 109-115.",76,没有链接
镉对罗氏沼虾组织转氨酶活性及组织结构的影响,"赵维信， 魏华贾 - 水产学报, 1995 - cqvip.com","… 谷丙转氨酶(GPT)和谷草转氨酶(GOT)活性正常值作了测定,其中心脏和绿腺的GPT和GOT活性较
… ,心脏,鳃和肝胰脏的GPT和GOT活性显著降低;绿腺的GPT和GOT活性在0.74×10^-6组显著升高 …","赵维信, & 魏华贾. (1995). 镉对罗氏沼虾组织转氨酶活性及组织结构的影响. 水产学报, 19(1), 21-27.",60,没有链接
Protective arrangement for telecommunications line interface circuit,"ME Stibila - US Patent 5,204,799, 1993 - Google Patents","A circuit protection device designed to protect a pair of electrical circuits by fracturing at
such time as an overcurrent condition has occurred in a first of the circuits, this novel device …","Stibila, M. E. (1993). U.S. Patent No. 5,204,799. Washington, DC: U.S. Patent and Trademark Office.",10,https://patentimages.storage.googleapis.com/pdfs/US5204799.pdf
Supplemental Table 2: Summary of 108 strains with cell cycle defects.,"…, V BET, T NTH, RFACLBY GEA, TUBPACYA GPT… - researchgate.net","RLI1 KAR1 CRT10 YIL158W HOS3 DHR2 SLK19 YDR266C YHR177W MRH1 RPC82 CLB6
YGR109W-A YDR266C SGN1 FRS2 AME1 MTH1 YGR109W-A IME2 BET4 MAD2 YAP1 …","ASK, A., CDC31, C., TEA, C. C., YGR206W, S. P. C. S. P. C. T. F., YML053C, S. E. C. S. E. C. C. D., YPR015C, M. Y. O. M. Y. O. C. S., ... & PMT, C. Supplemental Table 2: Summary of 108 strains with cell cycle defects.",无,没有链接
"[PDF] … ? Take Large Language Model GPT-4 For Example Machine vs. Human, who makes better judgment? Take Large Language Model GPT-4 For Example",M Du - 2023 - psyarxiv.com,"… We discover that GPT will not … GPT to do the same thing, using the method we mentioned
above: Skip the comments, adjust the temperature to 0 and top-p to 1.0, we can see that GPT …","Du, M. (2023). Machine vs. Human, who makes better judgment? Take Large Language Model GPT-4 For Example Machine vs. Human, who makes better judgment? Take Large Language Model GPT-4 For Example.",无,https://psyarxiv.com/4gh7y/download?format=pdf
Image GPT with Super Resolution,"B Shah, A Sinha, P Saxena - … and Analytics: Proceedings of the 9th …, 2022 - Springer","A Generative Pre-trained Transformer (GPT) model which can generate text by looking at
previous text was trained to generate image pixels sequentially by making a correlation …","Shah, B., Sinha, A., & Saxena, P. (2022, February). Image GPT with Super Resolution. In Intelligent Data Engineering and Analytics: Proceedings of the 9th International Conference on Frontiers in Intelligent Computing: Theory and Applications (FICTA 2021) (pp. 99-107). Singapore: Springer Nature Singapore.",无,没有链接
Biomarkers assessment in juvenile Cyprinus carpio exposed to waterborne cadmium,"FR De la Torre, A Salibian, L Ferrari - Environmental Pollution, 2000 - Elsevier","… Both liver GOT and GPT activities were increased by the … in the Mg 2+ -ATPase and GPT
were reversed to values similar to … The activities ratio of GOT to GPT differ with the species and …","De la Torre, F. R., Salibian, A., & Ferrari, L. (2000). Biomarkers assessment in juvenile Cyprinus carpio exposed to waterborne cadmium. Environmental Pollution, 109(2), 277-282.",244,https://www.academia.edu/download/76531173/s0269-7491_2899_2900263-820211216-10859-6hwcco.pdf
[图书] General purpose technologies and economic growth,E Helpman - 1998 - books.google.com,"… The essays in this book both further our understanding of GPT-driven economic growth and
… the GPT technology. These complementarities magnify the effects of innovation in the GPT, …","Helpman, E. (Ed.). (1998). General purpose technologies and economic growth. MIT press.",1314,没有链接
[PDF] Five Ideas for How Professors Can Deal with GPT-3... For Now,"TR Pickell, BR Doak - 2023 - digitalcommons.georgefox.edu","… iteration, GPT-4; … GPT is to ignore it and pretend like it doesn’t exist. The most immediate
question that needs to be addressed is pedagogical: how can we continue to teach in the GPT …","Pickell, T. R., & Doak, B. R. (2023). Five Ideas for How Professors Can Deal with GPT-3... For Now.",无,https://digitalcommons.georgefox.edu/cgi/viewcontent.cgi?article=1432&context=ccs
An enzymatic basis for the gluconeogenic action of hydrocortisone,"F Rosen, NR Roberts, LE Budnick, CA Nichol - Science, 1958 - science.org","… , in the course of studies on the effect of hydrocortisone on enzymes which require pryidoxal
phosphate as a cofactor, we have noted as much as 500 percent increase in the GPT …","Rosen, F., Roberts, N. R., Budnick, L. E., & Nichol, C. A. (1958). An enzymatic basis for the gluconeogenic action of hydrocortisone. Science, 127(3293), 287-288.",151,没有链接
Low loss telephone circuit,"J Handford, J Nelson - US Patent 5,633,925, 1997 - Google Patents","A telephone line power strip-off circuit includes a low loss polarity guard sub-circuit, a low
loss line seize sub-circuit, a low loss speech transformer sub-circuit and a high efficiency …","Handford, J., & Nelson, J. (1997). U.S. Patent No. 5,633,925. Washington, DC: U.S. Patent and Trademark Office.",7,https://patentimages.storage.googleapis.com/1b/a5/a8/6134a3d2a3e606/US5633925.pdf
以GPT 和GFP 为双重筛选标记的禽痘病毒转移载体的构建及鉴定,"王艳丽， 李俊辉， 姜永萍， 夏俊， 裴磊， 冉多良… - 中国预防兽医学报, 2009 - cqvip.com","… -gpt-HA9,将转移载体转染已感染禽痘病毒S-FPV-017的鸡胚成纤维细胞,利用gfp和gpt同时进行
双重筛选,数轮蚀斑纯化后获得了重组病毒rFPV-gpt-… 的重组禽痘病毒rFPV-gpt-gfp-HA9,为今后…","王艳丽, 李俊辉, 姜永萍, 夏俊, 裴磊, 冉多良, & 陈化兰. (2009). 以 GPT 和 GFP 为双重筛选标记的禽痘病毒转移载体的构建及鉴定. 中国预防兽医学报, 31(7), 501-504.",4,没有链接
"Änderung von Fermentaktivitäten (SDH, GOT, GPT, LAP, Gly-Leu-Dipeptidase, Triglycinase*) in Leber, Serum und peritonealer Spülflüssigkeit bei In-vivo-Autolyse …","W Blech - Enzymologia biologica et clinica, 1967 - karger.com","Bei einer In-vivo-Autolyse eines Leberlappens der Ratte sinkt die Aktivität der Sorbitdehydrogenase,
Glutamat-Pyruvat- und Glutamat-Oxalacetat- Transaminase in der abgebundenen …","Blech, W. (1967). Änderung von Fermentaktivitäten (SDH, GOT, GPT, LAP, Gly-Leu-Dipeptidase, Triglycinase*) in Leber, Serum und peritonealer Spülflüssigkeit bei In-vivo-Autolyse eines Leberlappens der Ratte. Enzymologia biologica et clinica, 8, 176-188.",1,没有链接
